"Satisfacao","Genero","Tipo","Distancia","WiFi","Comida_Bebida","Limpeza"
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",427,4,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1750,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1053,4,4,4
"Satisfeito","Feminino","Cliente Fiel",927,4,1,1
"Satisfeito","Masculino","Cliente Fiel",600,2,3,4
"Satisfeito","Masculino","Cliente Nao Fiel",756,4,4,4
"Satisfeito","Feminino","Cliente Fiel",872,5,1,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",918,4,4,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",834,3,5,5
"Satisfeito","Feminino","Cliente Fiel",3864,3,2,5
"Satisfeito","Feminino","Cliente Fiel",1788,3,5,5
"Satisfeito","Masculino","Cliente Fiel",1733,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",325,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",361,2,2,2
"Satisfeito","Feminino","Cliente Fiel",1754,2,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",502,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",366,4,5,5
"Satisfeito","Masculino","Cliente Fiel",86,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",328,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2446,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",694,1,5,5
"Satisfeito","Feminino","Cliente Fiel",83,0,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",349,2,4,2
"Satisfeito","Feminino","Cliente Fiel",1400,4,5,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",817,1,3,3
"Satisfeito","Feminino","Cliente Fiel",265,5,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1055,2,2,2
"Satisfeito","Masculino","Cliente Fiel",604,5,5,5
"Satisfeito","Feminino","Cliente Fiel",1533,4,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",528,2,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",758,4,2,3
"Satisfeito","Masculino","Cliente Fiel",237,4,1,1
"Satisfeito","Feminino","Cliente Fiel",580,2,4,5
"Satisfeito","Feminino","Cliente Fiel",2475,3,5,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",496,4,4,1
"Satisfeito","Feminino","Cliente Fiel",1874,4,4,4
"Satisfeito","Feminino","Cliente Fiel",309,2,4,4
"Satisfeito","Masculino","Cliente Fiel",3277,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",761,2,4,5
"Satisfeito","Masculino","Cliente Fiel",495,5,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",546,2,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",403,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",1258,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",130,2,5,5
"Satisfeito","Feminino","Cliente Fiel",354,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",130,1,5,3
"Satisfeito","Feminino","Cliente Fiel",1091,5,5,5
"Satisfeito","Feminino","Cliente Fiel",950,0,1,1
"Satisfeito","Feminino","Cliente Nao Fiel",919,5,5,5
"Satisfeito","Masculino","Cliente Fiel",534,4,4,4
"Satisfeito","Feminino","Cliente Fiel",337,5,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1389,4,1,1
"Satisfeito","Feminino","Cliente Fiel",1661,3,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",345,3,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2355,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",134,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",825,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",453,2,5,5
"Satisfeito","Feminino","Cliente Fiel",2863,2,4,5
"Satisfeito","Feminino","Cliente Fiel",191,5,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",280,2,2,2
"Satisfeito","Masculino","Cliente Fiel",2121,3,4,4
"Satisfeito","Masculino","Cliente Fiel",2035,3,1,3
"Satisfeito","Feminino","Cliente Fiel",134,5,3,3
"Satisfeito","Feminino","Cliente Fiel",1968,4,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",328,1,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",402,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",626,2,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",985,2,2,2
"Satisfeito","Masculino","Cliente Fiel",257,4,3,3
"Satisfeito","Masculino","Cliente Fiel",1726,1,2,4
"Satisfeito","Feminino","Cliente Fiel",223,4,1,1
"Satisfeito","Masculino","Cliente Nao Fiel",1481,5,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1042,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1123,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",1039,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",971,3,2,2
"Satisfeito","Feminino","Cliente Fiel",277,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",328,4,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",248,4,1,1
"Satisfeito","Feminino","Cliente Fiel",262,3,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2893,1,2,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",190,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",689,1,1,1
"Satisfeito","Masculino","Cliente Fiel",391,1,2,3
"Satisfeito","Feminino","Cliente Fiel",1005,4,4,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",761,4,4,4
"Satisfeito","Feminino","Cliente Fiel",2071,4,4,4
"Satisfeito","Masculino","Cliente Fiel",368,1,2,5
"Satisfeito","Feminino","Cliente Fiel",888,4,1,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",100,3,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",818,2,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",547,2,1,1
"Satisfeito","Feminino","Cliente Fiel",347,4,5,5
"Satisfeito","Feminino","Cliente Fiel",2742,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",429,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",337,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1742,3,3,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",119,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",409,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1303,1,2,2
"Satisfeito","Masculino","Cliente Nao Fiel",139,4,5,5
"Satisfeito","Feminino","Cliente Fiel",640,4,1,1
"Satisfeito","Masculino","Cliente Fiel",1504,5,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",259,2,2,2
"Satisfeito","Masculino","Cliente Fiel",1558,4,3,3
"Satisfeito","Masculino","Cliente Fiel",1917,4,4,5
"Satisfeito","Feminino","Cliente Fiel",257,3,4,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",1136,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",438,2,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",584,3,3,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",801,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1021,3,3,3
"Satisfeito","Masculino","Cliente Fiel",872,5,4,3
"Satisfeito","Feminino","Cliente Fiel",2237,3,3,3
"Satisfeito","Masculino","Cliente Nao Fiel",817,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",321,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",289,3,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2142,2,2,1
"Satisfeito","Masculino","Cliente Fiel",95,5,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1164,4,4,4
"Satisfeito","Masculino","Cliente Fiel",1546,2,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",733,4,1,1
"Satisfeito","Feminino","Cliente Fiel",3130,5,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1029,4,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",135,3,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",562,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",102,4,2,2
"Satisfeito","Masculino","Cliente Fiel",433,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",238,4,2,3
"Satisfeito","Feminino","Cliente Fiel",1037,4,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",115,1,3,4
"Satisfeito","Feminino","Cliente Fiel",2615,5,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",468,3,2,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",417,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2009,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",406,3,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1464,3,1,1
"Satisfeito","Feminino","Cliente Fiel",1727,1,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",258,2,1,1
"Satisfeito","Feminino","Cliente Fiel",2022,1,3,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2465,1,1,1
"Satisfeito","Feminino","Cliente Fiel",346,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",700,3,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",581,1,4,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",558,3,5,4
"Satisfeito","Masculino","Cliente Fiel",2449,1,4,4
"Satisfeito","Feminino","Cliente Fiel",852,5,5,5
"Satisfeito","Feminino","Cliente Fiel",1926,4,2,3
"Satisfeito","Feminino","Cliente Fiel",1595,4,5,5
"Satisfeito","Masculino","Cliente Fiel",3872,1,5,5
"Satisfeito","Feminino","Cliente Fiel",265,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2987,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",160,1,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",972,3,4,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1826,3,2,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",612,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1390,2,2,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2062,1,4,1
"Satisfeito","Feminino","Cliente Fiel",3340,5,4,5
"Satisfeito","Feminino","Cliente Fiel",3075,2,4,2
"Satisfeito","Feminino","Cliente Fiel",3601,5,4,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",596,4,4,4
"Satisfeito","Feminino","Cliente Fiel",3665,1,4,4
"Satisfeito","Feminino","Cliente Fiel",2963,3,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1508,3,2,2
"Satisfeito","Feminino","Cliente Fiel",589,5,5,5
"Satisfeito","Feminino","Cliente Nao Fiel",589,4,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",306,2,2,2
"Satisfeito","Masculino","Cliente Fiel",2092,5,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2133,2,5,4
"Satisfeito","Feminino","Cliente Fiel",3377,4,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",770,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1121,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2402,2,2,2
"Satisfeito","Masculino","Cliente Fiel",2647,3,5,5
"Satisfeito","Feminino","Cliente Fiel",2992,2,4,4
"Satisfeito","Feminino","Cliente Fiel",1023,4,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",240,4,4,4
"Satisfeito","Masculino","Cliente Nao Fiel",109,5,4,4
"Satisfeito","Masculino","Cliente Fiel",2079,5,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",125,1,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1846,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",407,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",462,1,4,3
"Satisfeito","Feminino","Cliente Fiel",3590,5,5,5
"Satisfeito","Feminino","Cliente Fiel",3511,5,4,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",762,3,1,1
"Satisfeito","Feminino","Cliente Fiel",2997,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",129,3,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",936,2,2,2
"Satisfeito","Masculino","Cliente Fiel",216,0,1,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",602,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",498,3,2,2
"Satisfeito","Feminino","Cliente Fiel",196,5,2,1
"Satisfeito","Masculino","Cliente Fiel",1431,0,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",489,3,5,5
"Satisfeito","Feminino","Cliente Nao Fiel",226,0,2,2
"Satisfeito","Feminino","Cliente Fiel",399,2,1,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1133,3,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",407,2,1,1
"Satisfeito","Feminino","Cliente Fiel",1656,1,3,5
"Satisfeito","Feminino","Cliente Fiel",1576,2,2,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",402,4,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",404,3,5,5
"Satisfeito","Feminino","Cliente Fiel",258,1,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",846,3,2,2
"Satisfeito","Feminino","Cliente Fiel",694,5,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1744,1,2,2
"Satisfeito","Feminino","Cliente Fiel",1713,3,4,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1440,1,3,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3992,3,2,2
"Satisfeito","Masculino","Cliente Fiel",1246,5,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3668,1,1,3
"Satisfeito","Feminino","Cliente Fiel",3796,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",758,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1061,1,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",325,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",862,1,2,1
"Satisfeito","Masculino","Cliente Fiel",365,4,4,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1744,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",2306,3,1,1
"Satisfeito","Masculino","Cliente Fiel",641,4,4,4
"Satisfeito","Masculino","Cliente Fiel",1035,5,5,5
"Satisfeito","Masculino","Cliente Fiel",1979,2,4,4
"Satisfeito","Masculino","Cliente Fiel",2400,5,4,4
"Satisfeito","Masculino","Cliente Fiel",3716,4,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1430,1,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",140,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",626,3,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1050,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",563,2,2,4
"Satisfeito","Feminino","Cliente Fiel",395,5,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",448,1,5,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",965,3,5,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",588,3,2,3
"Satisfeito","Masculino","Cliente Nao Fiel",612,4,5,5
"Satisfeito","Masculino","Cliente Nao Fiel",600,4,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1400,3,5,3
"Satisfeito","Masculino","Cliente Fiel",163,5,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",232,3,2,2
"Satisfeito","Masculino","Cliente Fiel",490,4,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",309,1,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",373,1,3,3
"Satisfeito","Masculino","Cliente Fiel",837,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",550,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",359,2,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1009,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1235,3,3,3
"Satisfeito","Masculino","Cliente Fiel",4000,2,3,5
"Satisfeito","Feminino","Cliente Fiel",973,5,5,5
"Satisfeito","Feminino","Cliente Fiel",1530,5,4,3
"Satisfeito","Masculino","Cliente Fiel",1680,4,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1637,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",862,2,2,2
"Satisfeito","Masculino","Cliente Fiel",546,1,3,3
"Satisfeito","Masculino","Cliente Fiel",1986,2,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",763,4,1,3
"Satisfeito","Feminino","Cliente Fiel",854,4,4,1
"Satisfeito","Masculino","Cliente Fiel",2174,1,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",177,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2369,2,2,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2940,3,3,4
"Satisfeito","Feminino","Cliente Fiel",867,4,1,4
"Satisfeito","Feminino","Cliente Fiel",158,3,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",838,3,2,2
"Satisfeito","Feminino","Cliente Fiel",1947,2,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",164,1,1,1
"Satisfeito","Feminino","Cliente Fiel",1605,1,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",220,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",571,4,4,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",868,2,3,3
"Satisfeito","Feminino","Cliente Fiel",3262,3,4,3
"Satisfeito","Feminino","Cliente Fiel",1874,5,4,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",255,3,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",944,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1084,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",987,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1620,2,3,3
"Satisfeito","Masculino","Cliente Fiel",3687,0,5,5
"Satisfeito","Feminino","Cliente Fiel",2671,3,3,5
"Satisfeito","Feminino","Cliente Fiel",2551,4,5,5
"Satisfeito","Masculino","Cliente Fiel",867,4,3,5
"Satisfeito","Masculino","Cliente Nao Fiel",980,5,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1390,1,5,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1744,2,3,2
"Satisfeito","Feminino","Cliente Fiel",2111,1,5,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",265,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",621,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1067,2,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",802,4,4,4
"Satisfeito","Masculino","Cliente Fiel",2647,5,2,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2528,1,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1727,2,3,1
"Satisfeito","Feminino","Cliente Fiel",3542,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1009,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1448,1,2,2
"Satisfeito","Feminino","Cliente Fiel",2613,1,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",802,3,2,3
"Satisfeito","Feminino","Cliente Fiel",1008,5,1,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1590,3,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1183,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2075,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",372,1,5,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",125,2,3,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",873,4,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",239,3,2,2
"Satisfeito","Masculino","Cliente Fiel",1185,3,5,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",177,1,1,1
"Satisfeito","Feminino","Cliente Fiel",370,4,1,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1185,2,5,5
"Satisfeito","Feminino","Cliente Fiel",2381,0,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",345,1,3,2
"Satisfeito","Feminino","Cliente Fiel",3557,5,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",869,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",669,4,5,3
"Satisfeito","Masculino","Cliente Fiel",689,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2367,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",189,1,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",723,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1750,3,3,1
"Satisfeito","Masculino","Cliente Fiel",3989,1,2,4
"Satisfeito","Feminino","Cliente Nao Fiel",431,5,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",229,3,4,4
"Satisfeito","Masculino","Cliente Fiel",2235,1,4,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",347,3,2,1
"Satisfeito","Feminino","Cliente Fiel",1711,0,1,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2496,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1728,1,1,4
"Satisfeito","Feminino","Cliente Fiel",1652,1,2,4
"Satisfeito","Feminino","Cliente Fiel",1464,2,4,4
"Satisfeito","Feminino","Cliente Fiel",483,5,5,5
"Satisfeito","Feminino","Cliente Fiel",2434,1,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",689,3,5,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",571,1,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1340,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",502,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",409,2,5,5
"Satisfeito","Feminino","Cliente Fiel",1865,3,4,5
"Satisfeito","Feminino","Cliente Fiel",402,5,4,3
"Satisfeito","Feminino","Cliente Fiel",369,5,1,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",820,3,2,4
"Satisfeito","Feminino","Cliente Fiel",1504,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",174,4,4,4
"Satisfeito","Masculino","Cliente Fiel",3146,3,2,4
"Satisfeito","Feminino","Cliente Fiel",188,1,4,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",196,2,3,3
"Satisfeito","Masculino","Cliente Fiel",370,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",236,3,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",226,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1085,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",700,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",611,1,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",244,3,5,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",634,2,1,1
"Satisfeito","Masculino","Cliente Fiel",1871,4,3,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",844,1,1,1
"Satisfeito","Masculino","Cliente Fiel",206,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",284,1,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",3005,1,5,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",725,2,2,2
"Satisfeito","Feminino","Cliente Fiel",140,2,1,4
"Satisfeito","Feminino","Cliente Fiel",1062,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",337,4,5,5
"Satisfeito","Feminino","Cliente Fiel",1399,1,3,3
"Satisfeito","Feminino","Cliente Nao Fiel",1565,5,4,4
"Satisfeito","Feminino","Cliente Fiel",1262,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",164,2,2,2
"Satisfeito","Feminino","Cliente Fiel",1145,5,5,5
"Satisfeito","Masculino","Cliente Fiel",3983,2,5,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1990,3,4,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",928,3,5,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2504,1,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",429,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",190,2,5,5
"Satisfeito","Feminino","Cliente Fiel",1747,1,5,5
"Satisfeito","Feminino","Cliente Fiel",2483,0,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",677,1,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",606,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1416,1,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1199,3,2,1
"Satisfeito","Feminino","Cliente Fiel",696,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3758,1,2,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",335,4,5,5
"Satisfeito","Feminino","Cliente Fiel",2797,4,4,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",767,1,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",129,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2757,3,5,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",646,1,4,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1389,4,2,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2808,1,4,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",192,3,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",1199,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",581,4,2,2
"Satisfeito","Feminino","Cliente Fiel",552,4,3,3
"Satisfeito","Masculino","Cliente Fiel",287,5,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",190,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",581,2,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",370,3,2,2
